disorder_id	disorder_name	description
100050	"AARSKOG SYNDROME, AUTOSOMAL DOMINANT"	
100070	"AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1"	"ANEURYSM, ABDOMINAL AORTIC; AAA;; ABDOMINAL AORTIC ANEURYSM"
100100	PRUNE BELLY SYNDROME; PBS	"ABDOMINAL MUSCLES, ABSENCE OF, WITH URINARY TRACT ABNORMALITY AND CRYPTORCHIDISM;; EAGLE-BARRETT SYNDROME; EGBRS"
100200	ABDUCENS PALSY	
100300	ADAMS-OLIVER SYNDROME 1; AOS1	"AOS;; ABSENCE DEFECT OF LIMBS, SCALP, AND SKULL;; CONGENITAL SCALP DEFECTS WITH DISTAL LIMB REDUCTION ANOMALIES;; APLASIA CUTIS CONGENITA WITH TERMINAL TRANSVERSE LIMB DEFECTS"
100500	MOVED TO 200150	
100600	ACANTHOSIS NIGRICANS	
100640	"ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A1; ALDH1A1"	"ALDEHYDE DEHYDROGENASE 1; ALDH1;; ACETALDEHYDE DEHYDROGENASE 1;; ALDH, LIVER CYTOSOLIC;; RETINAL DEHYDROGENASE 1; RALDH1"
100650	ALDEHYDE DEHYDROGENASE 2 FAMILY; ALDH2	"ALDEHYDE DEHYDROGENASE 2;; ALDH, LIVER MITOCHONDRIAL;; ACETALDEHYDE DEHYDROGENASE 2"
100660	"ALDEHYDE DEHYDROGENASE, FAMILY 3, SUBFAMILY A, MEMBER 1; ALDH3A1"	"ALDEHYDE DEHYDROGENASE 3; ALDH3;; ACETALDEHYDE DEHYDROGENASE 3;; ALDH, STOMACH TYPE"
100670	"ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER B1; ALDH1B1"	ALDEHYDE DEHYDROGENASE 5; ALDH5;; ACETALDEHYDE DEHYDROGENASE 5
100675	ACETAMINOPHEN METABOLISM	
100678	ACETYL-CoA ACETYLTRANSFERASE 2; ACAT2	"ACETOCOENZYME A ACETYLTRANSFERASE 2;; ACETOACETYL-CoA THIOLASE, CYTOSOLIC"
100680	MOVED TO 100740	
100690	"CHOLINERGIC RECEPTOR, NICOTINIC, ALPHA POLYPEPTIDE 1; CHRNA1"	"CHRNA;; ACETYLCHOLINE RECEPTOR, MUSCLE, ALPHA SUBUNIT; ACHRA"
100700	ACHARD SYNDROME	
100710	"CHOLINERGIC RECEPTOR, NICOTINIC, BETA POLYPEPTIDE 1; CHRNB1"	"CHRNB;; ACETYLCHOLINE RECEPTOR, MUSCLE, BETA SUBUNIT; ACHRB"
100720	"CHOLINERGIC RECEPTOR, NICOTINIC, DELTA POLYPEPTIDE; CHRND"	"ACETYLCHOLINE RECEPTOR, MUSCLE, DELTA SUBUNIT; ACHRD"
100725	"CHOLINERGIC RECEPTOR, NICOTINIC, EPSILON POLYPEPTIDE; CHRNE"	"ACETYLCHOLINE RECEPTOR, MUSCLE, EPSILON SUBUNIT; ACHRE"
100730	"CHOLINERGIC RECEPTOR, NICOTINIC, GAMMA POLYPEPTIDE; CHRNG"	"ACETYLCHOLINE RECEPTOR, MUSCLE, GAMMA SUBUNIT; ACHRG"
100735	MOVED TO 142445	
100740	ACETYLCHOLINESTERASE; ACHE	ACETYLCHOLINE ACETYLHYDROLASE;; YT
100790	"ACHAETE-SCUTE COMPLEX, DROSOPHILA, HOMOLOG OF, 1; ASCL1"	MAMMALIAN ACHAETE-SCUTE HOMOLOG 1; MASH1;; HUMAN ACHAETE-SCUTE HOMOLOG 1; HASH1
